age_group,Sex,Pclass,PassengerId,Survived,Age,SibSp,Parch,Fare
0-9,female,1,298.0,0.0,2.0,1.0,2.0,151.55
0-9,female,2,3499.0,8.0,39.0,6.0,12.0,242.8292
0-9,female,3,8860.0,11.0,91.5,39.0,29.0,444.7999
0-9,male,1,752.0,2.0,4.92,1.0,4.0,233.4083
0-9,male,2,4172.0,9.0,20.33,8.0,11.0,245.7542
0-9,male,3,8753.0,8.0,95.42,60.0,29.0,577.4125
10-19,female,1,6821.0,13.0,222.0,7.0,11.0,1398.0292
10-19,female,2,2977.0,8.0,135.0,2.0,4.0,160.0708
10-19,female,3,9077.0,13.0,385.5,20.0,10.0,317.8794
10-19,male,1,2637.0,2.0,84.0,6.0,6.0,655.8833
10-19,male,2,3956.0,1.0,180.0,1.0,1.0,216.75
10-19,male,3,19857.0,4.0,705.0,32.0,16.0,569.9708
20-29,female,1,10961.0,24.0,643.292058824,17.0,12.0,2815.6499
20-29,female,2,11570.0,24.0,699.398235294,16.0,14.0,595.9792
20-29,female,3,28511.0,40.0,1997.36294118,54.0,36.0,1055.1126
20-29,male,1,16623.0,14.0,1091.68147059,5.0,5.0,2455.4374
20-29,male,2,18006.0,2.0,971.292058824,11.0,4.0,671.7583
20-29,male,3,86738.0,25.0,5251.21705882,68.0,16.0,2329.4951
30-39,female,1,11809.0,27.0,931.0,13.0,9.0,2919.9583
30-39,female,2,7310.0,16.0,568.5,7.0,7.0,317.35
30-39,female,3,7337.0,7.0,533.5,11.0,19.0,278.475
30-39,male,1,13015.0,12.0,807.0,7.0,6.0,1997.2584
30-39,male,2,13328.0,3.0,1044.0,12.0,6.0,624.225
30-39,male,3,26100.0,8.0,1779.0,9.0,8.0,605.7414
40-49,female,1,7147.0,13.0,580.0,5.0,5.0,1332.6335
40-49,female,2,5510.0,9.0,427.0,5.0,5.0,257.0
40-49,female,3,3292.0,0.0,395.0,5.0,21.0,215.2542
40-49,male,1,9786.0,9.0,1086.5,11.0,1.0,1182.8167
40-49,male,2,2658.0,1.0,354.0,3.0,1.0,159.25
40-49,male,3,13046.0,2.0,1079.5,4.0,9.0,235.25
50-59,female,1,5597.0,11.0,646.0,7.0,4.0,1124.7958
50-59,female,2,2810.0,5.0,316.0,1.0,4.0,96.5
50-59,female,3,,,,,,
50-59,male,1,6432.0,4.0,803.0,5.0,5.0,889.425
50-59,male,2,4297.0,0.0,483.0,1.0,0.0,143.875
50-59,male,3,1993.0,0.0,317.5,0.0,0.0,46.2042
60-69,female,1,1473.0,3.0,185.0,2.0,0.0,233.2083
60-69,female,2,,,,,,
60-69,female,3,484.0,1.0,63.0,0.0,0.0,9.5875
60-69,male,1,4386.0,1.0,624.0,2.0,6.0,602.2
60-69,male,2,1290.0,1.0,188.0,1.0,1.0,60.0
60-69,male,3,608.0,0.0,126.0,0.0,0.0,13.9875
70-79,female,1,,,,,,
70-79,female,2,,,,,,
70-79,female,3,,,,,,
70-79,male,1,1337.0,0.0,212.0,1.0,1.0,155.1584
70-79,male,2,673.0,0.0,70.0,0.0,0.0,10.5
70-79,male,3,969.0,0.0,144.5,0.0,0.0,15.525
